year,jday,tree.type,site,plot,nindivs,tag,spp,dbh,,ba [m^2]
2009,335,live,ems,A3,NA,51,ro,25.25,,0.015939063
2009,120,live,ems,A3,NA,52,beech,15.37,,0.005905923
2009,152,live,ems,A3,NA,52,beech,15.42,,0.00594441
2009,225,live,ems,A3,NA,52,beech,15.64,,0.00611524
2009,335,live,ems,A3,NA,52,beech,15.7,,0.00616225
2009,120,live,ems,A3,NA,53,rm,12.24,,0.00374544
2009,152,live,ems,A3,NA,53,rm,12.24,,0.00374544
2009,225,live,ems,A3,NA,53,rm,12.25,,0.003751563
2009,335,live,ems,A3,NA,53,rm,12.26,,0.00375769
2009,120,live,ems,A3,NA,54,ro,36.62,,0.03352561
2009,152,live,ems,A3,NA,54,ro,36.79,,0.033837603
2009,225,live,ems,A3,NA,54,ro,37.06,,0.03433609
2009,335,live,ems,A3,NA,54,ro,37.16,,0.03452164
2009,120,live,ems,A3,NA,55,rm,17.94,,0.00804609
2009,152,live,ems,A3,NA,55,rm,17.96,,0.00806404
2009,225,live,ems,A3,NA,55,rm,18.05,,0.008145063
2009,335,live,ems,A3,NA,55,rm,18.08,,0.00817216
2009,120,live,ems,A3,NA,56,rm,13.81,,0.004767903
2009,152,live,ems,A3,NA,56,rm,13.93,,0.004851123
2009,225,live,ems,A3,NA,56,rm,14.37,,0.005162423
2009,335,live,ems,A3,NA,56,rm,14.56,,0.00529984
2009,120,live,ems,A3,NA,57,ro,57.72,,0.08328996
2009,152,live,ems,A3,NA,57,ro,57.9,,0.08381025
2009,225,live,ems,A3,NA,57,ro,58.14,,0.08450649
2009,335,live,ems,A3,NA,57,ro,58.18,,0.08462281
2009,120,live,ems,A3,NA,58,ro,42.05,,0.044205063
2009,152,live,ems,A3,NA,58,ro,42.22,,0.04456321
2009,225,live,ems,A3,NA,58,ro,42.41,,0.044965203
2009,335,live,ems,A3,NA,58,ro,42.51,,0.045177503
2009,120,live,ems,A3,NA,60,rm,22.05,,0.012155063
2009,152,live,ems,A3,NA,60,rm,22.11,,0.012221303
2009,225,live,ems,A3,NA,60,rm,22.28,,0.01240996
2009,335,live,ems,A3,NA,60,rm,22.17,,0.012287723
